Station,Operator,District,State,Region,Generatorunits,Capacity(MW),Under Construction[43](MW),Coordinates
Donkarayi,APGenco,,AP,Southern,1 x 25,25,-,17°55′57″N 81°47′49″E﻿ / ﻿17.93250°N 81.79694°E
Polavaram,APGenco,,AP,Southern,12 x 80,-,960,17°15′40″N 81°39′23″E﻿ / ﻿17.26111°N 81.65639°E
Southern,,,,24,153,9610.4,960,
Koyna,MahaGenco,satara,Maharashtra,Western,"4 x 70, 4 x 80, 2 x 20, 4 x 80, 4 x 250, 2 x 40#",1960,80#,17°24′06″N 73°45′08″E﻿ / ﻿17.40167°N 73.75222°E
Sardar Sarovar,Sardar Sarovar Narmada Nigam,,Gujarat,Western,"6 x 200#, 5 x 50",1450,-,21°49′49″N 73°44′50″E﻿ / ﻿21.83028°N 73.74722°E
Indira Sagar,NHPC,Khadwa,Madhya Pradesh,Western,8 x 125,1000,-,22°17′02″N 76°28′17″E﻿ / ﻿22.28389°N 76.47139°E
Omkareshwar,NHPC,Khandwa,Madhya Pradesh,Western,8 x 65,520,-,22°05′N 74°54′E﻿ / ﻿22.083°N 74.900°E
Bansagar Dam,,,Madhya Pradesh,Western,,425,-,24°11′30″N 81°17′15″E﻿ / ﻿24.19167°N 81.28750°E
Ghatghar Pumped Storage,MahaGenco,,Maharashtra,Western,2 x 125#,250,-,19°32′33″N 73°39′53″E﻿ / ﻿19.54250°N 73.66472°E
Mulshi Dam,Tata Power,Pune,Maharashtra,Western,"6 x 25, 1 x 150#",300,-,18°31′37″N 73°30′39″E﻿ / ﻿18.52694°N 73.51083°E
Bargi Dam,,,Madhya Pradesh,Western,,105,-,22°56′30″N 79°55′30″E﻿ / ﻿22.94167°N 79.92500°E
Madikheda Dam,,,Madhya Pradesh,Western,,60,-,25°33′20″N 77°51′10″E﻿ / ﻿25.55556°N 77.85278°E
Jayakwadi Dam,,,Maharashtra,Western,1 X 12#,12,-,19°29′8.7″N 075°22′12″E﻿ / ﻿19.485750°N 75.37000°E
Kadana Dam,,,Gujarat,Western,"2 x 60#, 2 x 60",240,-,
Ujjani Dam,MahaGenco,Solapur,Maharashtra,Western,1 x 12#,12,-,18°04′27″N 75°07′13″E﻿ / ﻿18.07417°N 75.12028°E
Western,,,,10,55,5932,80,
Upper Indravati Power Station,Odisha Hydro Power Corporation,Kalahandi,Odisha,Eastern,4 x 150,600,-,19°28′20″N 82°59′50″E﻿ / ﻿19.47222°N 82.99722°E
Balimela Power Station,Odisha Hydro Power Corporation,Malkangiri,Odisha & AP,Eastern,"6 x 60, 2 x 75",510,60[54],18°08′49″N 82°06′55″E﻿ / ﻿18.14694°N 82.11528°E
Hirakud Dam,Odisha Hydro Power Corporation,Sambalpur,Odisha,Eastern,"2 x 49.5, 2 x 32, 3 x 37.5, 3 x 24",347.5,-,21°32′58″N 83°52′12″E﻿ / ﻿21.54944°N 83.87000°E
Upper Kolab Power Station,Odisha Hydro Power Corporation,Koraput,Odisha,Eastern,4 x 80,320,-,18°47′19″N 82°36′00″E﻿ / ﻿18.78861°N 82.60000°E
Sindol Complex Power Station,Odisha Hydro Power Corporation,Sambalpur,Odisha,Eastern,"5 x 18, 5 x 20, 6 x 20",320,-,21°32′58″N 83°49′31″E﻿ / ﻿21.54944°N 83.82528°E
